InternshipID,CompanyName,CompanyTier,RoleTitle,Sector,Location,RequiredSkills,RoleDescription,Capacity
510,Baria-Sastry,2,Manufacturing Intern,Manufacturing,Pune,"MATLAB,SolidWorks,FEA,AutoCAD,Thermodynamics,3D Printing",Nemo eligendi debitis at. Porro consequuntur eum eos. Non pariatur nihil ipsum dolores suscipit eaque. Ipsum corporis libero voluptas assumenda asperiores. Atque provident ipsa iusto praesentium.,5
511,"Yohannan, Sheth and Ravi",3,Healthcare Intern,Healthcare,Pune,"Python,SQL,Java,Node.js,Docker,Cloud Computing,React,C++",Harum ipsum nam nulla ipsum laudantium. Magnam pariatur atque quisquam sapiente. Vel earum sapiente quos consequuntur doloremque. Praesentium fugiat deserunt.,10
512,Datta Group,3,Healthcare Intern,Healthcare,Bangalore,"React,Java,Cloud Computing",Fugit ea ullam eius perspiciatis modi. Numquam expedita esse in delectus. Quaerat aliquam eum inventore omnis.,2
513,"Cherian, Talwar and Taneja",1,Marketing Intern,Marketing,Chennai,"Social Media Marketing,Email Marketing,Content Creation,Google Analytics,SEO",Delectus dolore totam ipsa. Hic tempora totam est saepe. In sit vel voluptatem nemo eos. Nemo dolores nam culpa voluptas repellendus perspiciatis. Numquam error molestiae quaerat eaque placeat. Modi dolor vero blanditiis.,4
514,Bhandari LLC,1,Manufacturing Intern,Manufacturing,Delhi,"MATLAB,Thermodynamics,AutoCAD,FEA,SolidWorks",Fugit qui earum quibusdam expedita esse molestias veritatis. Quaerat dolores in possimus libero illo. Tenetur debitis quisquam.,5
515,Dugar PLC,3,Healthcare Intern,Healthcare,Pune,"Node.js,Java,C++",Temporibus repellendus ipsa quasi. Quas consequuntur sint at eum molestias numquam. Quaerat quia porro quasi impedit enim reiciendis dolore.,9
516,Mander PLC,3,Finance Intern,Finance,Mumbai,"Statistics,Tally,Risk Analysis,Excel",Magni ut explicabo. Repellat commodi exercitationem natus velit pariatur rerum tempora. Veniam ut corporis. Numquam nihil doloremque architecto magnam. Aliquam dolorem nesciunt est. Corporis illo voluptates.,8
517,"Gandhi, Lad and Mistry",3,IT Intern,IT,Chennai,"React,Python,SQL,Cloud Computing,Docker,C++",Cumque molestias rerum assumenda non. Placeat voluptates eos suscipit magni laudantium voluptas. Voluptatum quos mollitia explicabo cumque quae. Nihil culpa nesciunt aspernatur deserunt occaecati nulla. Placeat provident animi voluptatem. Quos omnis deserunt tenetur fugiat modi.,4
518,Karan-Dayal,2,IT Intern,IT,Hyderabad,"Java,Python,SQL,React,C++,Docker,Node.js",Ut necessitatibus et sit cum unde voluptatem. Maiores dolorum accusantium aut. Distinctio aut qui magnam tenetur praesentium. Cum laborum dolorem. Minus quia repellat laudantium delectus. Unde necessitatibus architecto voluptatibus vero necessitatibus laborum.,3
519,Mistry-Sama,1,IT Intern,IT,Mumbai,"C++,React,Java,SQL,Node.js,Python,Docker,Cloud Computing",Voluptates eaque facere repudiandae doloremque ea distinctio. Corrupti sequi sed laboriosam. Praesentium minus harum ut iste dolorum.,10
520,Gara PLC,3,Healthcare Intern,Healthcare,Mumbai,"SQL,C++,Python,Java,Node.js",Sunt dolorem cumque expedita. Totam repellendus nulla explicabo facere laudantium. Ab similique veniam doloribus doloremque ea voluptatibus minus. Tenetur magnam enim. Minus eius eveniet commodi maxime.,9
521,Chakraborty-Naik,2,Marketing Intern,Marketing,Pune,"SEO,Google Analytics",Hic ut magnam saepe numquam architecto facilis natus. Quia sapiente dolore modi. Temporibus doloremque dicta aliquid nisi quia delectus reiciendis. Totam sit harum iusto sequi maxime.,4
522,Sankar-Mishra,3,Finance Intern,Finance,Pune,"Tally,QuickBooks,Financial Modeling,Statistics",Velit quibusdam itaque dolores eos et nulla excepturi. Nihil qui deleniti atque ipsum quis fugit. Iste non aperiam esse veritatis maxime.,7
523,Varughese-Bedi,1,IT Intern,IT,Chennai,"Java,Node.js,React,Docker,C++,SQL",Quos possimus nobis labore facilis aperiam tenetur pariatur. Reiciendis quas itaque sunt praesentium. Nulla expedita iste modi dignissimos labore quas consequatur. Sunt autem explicabo quaerat perferendis veritatis. Sequi cupiditate molestiae.,7
524,Pandya-Mallick,1,Manufacturing Intern,Manufacturing,Chennai,"FEA,SolidWorks,MATLAB,AutoCAD",Odio saepe illum suscipit. Unde inventore repellat corporis incidunt nesciunt. Maiores consectetur aut earum. Debitis eaque animi praesentium animi rem.,2
525,Gola Inc,3,IT Intern,IT,Delhi,"React,Java,SQL",Nam magnam nemo porro voluptates earum temporibus. Fugiat assumenda hic. Eveniet repellat culpa beatae architecto tempore consequatur doloremque.,10
526,"Bhalla, Pai and Dubey",3,Marketing Intern,Marketing,Chennai,"Google Analytics,Email Marketing",Esse aut adipisci. Facilis occaecati mollitia sed enim. Delectus aliquid natus necessitatibus alias cupiditate nostrum minus.,8
527,"Balay, Dash and Doctor",3,IT Intern,IT,Hyderabad,"Python,Java",Hic libero ipsam et error. Eum debitis cumque eum cupiditate culpa fugiat in. Deleniti sed ex quae magnam.,2
528,"Dey, Brahmbhatt and Bawa",2,Marketing Intern,Marketing,Delhi,"Email Marketing,SEO",Nostrum delectus culpa fugit placeat ipsa blanditiis. Nesciunt quasi illum neque amet quam iusto. Cupiditate blanditiis similique libero veritatis.,5
529,Dewan Group,1,Marketing Intern,Marketing,Mumbai,"Social Media Marketing,Email Marketing",Ut magnam voluptas ipsam. Labore sit aspernatur atque. Quidem ea recusandae voluptatum. A dolore voluptatibus occaecati. Dicta saepe architecto eveniet eveniet quod vel.,2
530,Agate-Choudhary,1,Manufacturing Intern,Manufacturing,Delhi,"3D Printing,FEA,SolidWorks,AutoCAD,MATLAB",Consequatur culpa magnam hic aperiam. Consequatur dicta impedit quibusdam error corporis eligendi. Perspiciatis ea voluptatibus perspiciatis laboriosam nisi culpa.,2
531,Misra Group,3,IT Intern,IT,Pune,"Java,Cloud Computing,SQL",Vero qui quo ut dicta vitae hic. Consequuntur voluptas repudiandae velit. Cupiditate modi saepe magni. Animi architecto a odio ex quis facilis.,7
532,Bath-Sachar,2,Manufacturing Intern,Manufacturing,Bangalore,"3D Printing,MATLAB",Molestiae ducimus omnis. Quasi provident sed nesciunt vero ipsam doloribus. Aliquid architecto iste. Neque explicabo neque. Quisquam id rerum eveniet occaecati.,1
533,Tank-Narayanan,3,Healthcare Intern,Healthcare,Chennai,"Java,Python,SQL,Cloud Computing,React,Docker",Rerum quisquam eum deleniti adipisci. Omnis recusandae beatae minus fuga distinctio harum. Accusantium iusto similique nesciunt mollitia corrupti illum rerum. Voluptates saepe dolor magni aut voluptatum repudiandae.,7
534,"Yogi, Lanka and Brar",2,Manufacturing Intern,Manufacturing,Chennai,"AutoCAD,FEA,3D Printing",Hic saepe minus omnis. Enim occaecati sunt quibusdam officia. Eligendi voluptatum dolorum aut error mollitia excepturi.,4
535,"Sodhi, Seshadri and Karnik",2,Marketing Intern,Marketing,Hyderabad,"Google Analytics,Email Marketing,SEO",Quo sed perferendis voluptate voluptas. Repudiandae beatae accusantium quaerat unde. Laborum tempore inventore repellat quam. Eveniet repellat blanditiis placeat praesentium quos cum. Placeat eaque a adipisci pariatur suscipit. Commodi impedit harum pariatur.,1
536,Dar-Brar,2,Healthcare Intern,Healthcare,Pune,"SQL,React,Java,Node.js,Python,Docker,C++",Quod nostrum veritatis porro. Vitae laboriosam dolores provident totam blanditiis. Dolor mollitia similique vel. Architecto beatae temporibus omnis tempora quisquam. Eos praesentium voluptatibus voluptas dolorem odit cumque. Magni excepturi eum alias similique.,1
537,"Gola, Deshpande and Saha",1,Manufacturing Intern,Manufacturing,Pune,"SolidWorks,3D Printing,FEA,Thermodynamics,MATLAB,AutoCAD",Veniam delectus totam ea. Molestiae voluptates voluptatibus voluptatum. Laudantium iste porro. Quasi distinctio nihil rem.,7
538,Varma LLC,3,Finance Intern,Finance,Bangalore,"Tally,Financial Modeling,Risk Analysis,Excel",Et molestias pariatur tempora suscipit ab ab non. Architecto enim natus ullam cupiditate sit eligendi. Incidunt quaerat illo omnis magnam nesciunt rem accusamus.,1
539,"Walla, Mangal and Padmanabhan",3,IT Intern,IT,Mumbai,"Python,React",Quibusdam deserunt expedita ex officia officiis labore iste. Distinctio adipisci sapiente earum similique. Dolore nemo magni sapiente illo. Eaque maxime velit vitae.,2
540,Bhagat-Dua,2,Healthcare Intern,Healthcare,Mumbai,"Python,React,SQL,C++",Facere asperiores quis adipisci nobis architecto. Maiores nam est qui eveniet rerum. Perferendis similique mollitia eligendi labore recusandae laborum.,4
541,"Barad, Misra and Din",3,IT Intern,IT,Hyderabad,"Node.js,C++,Python,SQL",Eius inventore alias ipsa. Magnam accusamus laudantium. Earum hic ad voluptates eaque voluptates accusamus. Dolorum saepe consectetur dolore odit id. Sint veritatis suscipit repellat.,5
542,"Dayal, Walia and Parekh",1,Manufacturing Intern,Manufacturing,Bangalore,"FEA,MATLAB,3D Printing,Thermodynamics",Vero ea perspiciatis optio praesentium vitae assumenda. Possimus suscipit voluptate reprehenderit. Minus eligendi recusandae ut aliquam repellendus doloribus. Ex exercitationem quam assumenda dolor pariatur. Rem laboriosam minima reprehenderit cupiditate ullam odit. Accusantium nemo optio ducimus distinctio vero.,8
543,"Jayaraman, Dhingra and Sule",2,IT Intern,IT,Hyderabad,"Java,Docker,SQL,Python,C++,Node.js",Veniam repellendus consectetur nobis quaerat nulla. Vero ad aperiam recusandae possimus exercitationem sit. Voluptate enim labore odio tenetur dicta commodi. Delectus unde officiis minus sunt molestiae.,6
544,Batra-Patil,3,Manufacturing Intern,Manufacturing,Pune,"MATLAB,FEA,AutoCAD,3D Printing",Veniam illum sit consectetur velit. Fugiat atque sequi est rerum tempore magni. Harum sunt pariatur temporibus et voluptatum. Libero iste neque nostrum. Aliquid nulla blanditiis nemo eum officiis libero. Enim amet occaecati.,2
545,Natarajan PLC,2,Healthcare Intern,Healthcare,Bangalore,"SQL,Node.js,Java,C++,Python,Docker",Et ratione libero voluptatem aspernatur possimus nostrum iusto. Consequatur consequatur eligendi vel fugit laudantium vitae. Eius quae doloremque alias. Vitae provident adipisci ipsa placeat quam.,7
546,Krishnan Group,3,IT Intern,IT,Delhi,"Node.js,React,Java,Docker,C++",Laudantium quas veritatis officiis autem doloremque voluptatem. Consectetur beatae ratione. Doloremque dignissimos dignissimos ipsam impedit.,8
547,Butala Ltd,3,Manufacturing Intern,Manufacturing,Bangalore,"AutoCAD,MATLAB,SolidWorks",Alias ducimus facilis tempora. Libero quod vel expedita iure aperiam voluptatum. Veniam cum blanditiis nisi. Atque corporis repellat eaque voluptatibus perferendis reiciendis.,9
548,"Sarraf, Pal and Chana",2,Finance Intern,Finance,Mumbai,"QuickBooks,Excel,Statistics,Risk Analysis",Non tenetur dolores ipsam. Soluta sapiente nostrum. Ex optio sunt quod hic quas. Rem natus harum corporis quasi.,7
549,Krishnamurthy-D’Alia,2,Manufacturing Intern,Manufacturing,Mumbai,"Thermodynamics,FEA,MATLAB,3D Printing,AutoCAD",Ex amet ex libero. Provident laudantium natus asperiores qui. Ipsam architecto nostrum dolore fuga blanditiis saepe. Ducimus similique voluptates praesentium optio enim.,10
550,Acharya-Grewal,1,Marketing Intern,Marketing,Hyderabad,"SEO,Email Marketing,Content Creation",Eligendi qui quod. Sed at libero distinctio natus perferendis. Tenetur quia atque repellendus deleniti voluptas dicta.,6
551,"Mahajan, Suresh and Guha",1,Finance Intern,Finance,Delhi,"QuickBooks,Financial Modeling,Statistics",Ullam tempore velit beatae animi saepe magni. Est est a in. Illo incidunt quas assumenda mollitia.,2
552,Acharya-Narang,2,Healthcare Intern,Healthcare,Hyderabad,"React,Docker,Cloud Computing",Quos esse deserunt quae consequuntur nisi. Molestiae fugiat tempora repellendus quis quia deserunt. Illum quasi perspiciatis. Consequatur at dignissimos laboriosam harum nesciunt nam perspiciatis. Facere a assumenda quis. Quia quam corporis vel tenetur veritatis.,1
553,Mangal-Srivastava,2,Healthcare Intern,Healthcare,Bangalore,"Docker,Java,Cloud Computing,React,Python,Node.js,SQL",Reiciendis molestiae consequuntur alias inventore voluptatibus odio. Ipsa reiciendis incidunt mollitia suscipit. Tempore itaque maxime libero. Eaque est adipisci facere quod odio. Officia esse iusto libero.,1
554,"Mani, Arya and Parsa",2,Manufacturing Intern,Manufacturing,Delhi,"MATLAB,AutoCAD",Quam quaerat fugit. Impedit minus consequatur rem quos aut. Sunt ipsam veritatis ex voluptates. Commodi reprehenderit adipisci molestias ipsam cumque deserunt.,1
555,"Char, Korpal and Sethi",3,Finance Intern,Finance,Delhi,"Risk Analysis,Financial Modeling,Statistics",Inventore in accusamus nihil facilis nihil eum delectus. Voluptate recusandae nulla est nesciunt facere excepturi. Molestias fugit accusamus dolore.,3
556,Dewan LLC,2,IT Intern,IT,Mumbai,"C++,Docker,Cloud Computing,Python,Java",Et optio fugit pariatur voluptates odio. Quae provident facere. Ad delectus dolore at soluta.,9
557,"Gupta, Rau and Bali",1,Finance Intern,Finance,Hyderabad,"Statistics,Excel,Risk Analysis,Tally,QuickBooks",Officia atque ducimus excepturi consectetur. Eligendi distinctio cumque. Deserunt occaecati libero. Sequi eius perferendis maiores minima neque. Neque doloremque eveniet cumque assumenda sunt. Doloremque laborum adipisci sapiente odio consectetur officiis.,8
558,Menon Inc,1,Marketing Intern,Marketing,Delhi,"Google Analytics,Social Media Marketing",Nesciunt vel ducimus dolore. Saepe perspiciatis quaerat nisi numquam repellat veritatis mollitia. Ullam culpa voluptatem earum eveniet mollitia animi.,4
559,Hayre-Manda,3,Healthcare Intern,Healthcare,Hyderabad,"Python,Cloud Computing,Docker,SQL,C++,Node.js",Harum eveniet odit tempore sapiente. Accusantium expedita perspiciatis itaque similique unde ad. Amet nemo nihil corporis suscipit mollitia. Voluptate aut accusamus vitae facilis.,6
560,"Cherian, Kaur and Bala",3,IT Intern,IT,Pune,"Cloud Computing,SQL,Docker,Node.js,React,Java,C++,Python",Laboriosam nobis error maxime saepe voluptas alias. Molestias minima rem neque pariatur eaque officiis. Facere dolor repudiandae veritatis quaerat optio. Nobis natus minima reprehenderit.,1
561,"Kalita, Merchant and Gade",3,Manufacturing Intern,Manufacturing,Chennai,"Thermodynamics,3D Printing",Corrupti expedita eos maxime dignissimos ab sit. Maiores fuga ipsam. Ipsum est optio. Cum dicta doloremque ex provident accusamus. Corrupti neque sequi doloremque facilis rerum. Beatae provident facilis.,6
562,"Bera, Chaudhary and Pillai",2,Healthcare Intern,Healthcare,Pune,"Cloud Computing,Node.js",Odio vitae eligendi magnam adipisci quisquam necessitatibus. Assumenda repellat quibusdam distinctio. Fuga nulla a consequatur fugiat explicabo libero. Veniam doloribus corrupti provident cupiditate. Impedit porro placeat ducimus accusantium maiores eum.,9
563,Naidu LLC,1,Finance Intern,Finance,Pune,"Risk Analysis,Excel,Statistics,Tally",Cumque laborum mollitia suscipit fuga quo. Exercitationem tenetur voluptate est nihil. Nesciunt sequi perferendis adipisci accusantium iste quae necessitatibus. Aperiam reprehenderit id ad nobis. Ipsum magni quaerat necessitatibus delectus. Velit enim consequatur dolor omnis dolorum vero.,3
564,Varty-Rajagopal,1,IT Intern,IT,Delhi,"SQL,Node.js,Docker,React,Cloud Computing",Dolores inventore illum doloremque asperiores. Voluptatibus neque quasi. Reiciendis ullam vero quidem corporis necessitatibus fugit. Sit quam velit ad alias placeat totam repudiandae.,1
565,Bail Ltd,1,Finance Intern,Finance,Mumbai,"Statistics,Tally,Risk Analysis,Financial Modeling,QuickBooks",Iusto facilis delectus magni veritatis. Molestiae facilis sit. Delectus similique hic illo tenetur. Aspernatur rem voluptates aliquid.,4
566,"Sahota, Reddy and Bhargava",3,Healthcare Intern,Healthcare,Chennai,"Cloud Computing,Java,Docker",Ea rerum pariatur. Aspernatur molestias repudiandae dolore. Ut amet in nihil veniam quod ullam. Nemo illo doloribus corporis asperiores.,7
567,Salvi LLC,3,Healthcare Intern,Healthcare,Mumbai,"Java,Docker,SQL,React",Quod perspiciatis eos reprehenderit maxime. Placeat quibusdam voluptas veniam sint ipsum ea. Eum omnis iure libero ab debitis qui. Dignissimos nemo ducimus necessitatibus eius. Error sapiente soluta sequi. Atque doloribus quod magni laboriosam pariatur.,10
568,"Oommen, Deep and Gade",2,Finance Intern,Finance,Delhi,"QuickBooks,Excel,Statistics",Rem praesentium corrupti neque eum. Quis facilis eveniet eligendi ab. Sint at a quo praesentium officiis id.,7
569,Pandit-Arya,1,Manufacturing Intern,Manufacturing,Bangalore,"Thermodynamics,3D Printing,AutoCAD,SolidWorks",Asperiores accusantium impedit aliquam. Minima harum saepe deleniti reiciendis. Voluptate exercitationem numquam labore repellat exercitationem accusantium officiis. Nihil ad ullam dolorum maiores neque minima.,2
570,"Palan, Venkataraman and Kadakia",3,Marketing Intern,Marketing,Chennai,"Social Media Marketing,Content Creation,Email Marketing,SEO",Ducimus ullam blanditiis doloribus praesentium molestiae ipsam. Iusto facilis corporis id praesentium quae. Delectus quae dolor praesentium. Neque est autem blanditiis amet.,1
571,"Sant, Hayer and Deo",3,IT Intern,IT,Delhi,"SQL,Cloud Computing,Python,Node.js,Docker,C++",Impedit ad delectus possimus. Magnam eum non facere porro. Maxime laborum inventore doloribus nostrum aut quo quisquam.,10
572,Mittal-Savant,3,Marketing Intern,Marketing,Delhi,"SEO,Content Creation,Social Media Marketing",Velit dolorem voluptatum earum animi aliquam. Excepturi dicta inventore ducimus cumque. Cum porro corrupti similique illo cumque.,8
573,"Hans, Jani and Bassi",2,Finance Intern,Finance,Hyderabad,"QuickBooks,Excel,Risk Analysis,Statistics",Necessitatibus aspernatur magni ipsum recusandae nemo nostrum. Veniam nulla temporibus eum. Assumenda labore ipsum veritatis suscipit nobis quis. Quo quas adipisci.,7
574,"Bawa, Krishnan and Goda",1,Healthcare Intern,Healthcare,Delhi,"Docker,SQL,Node.js,Python,C++,Cloud Computing",Ab sit numquam odit sint occaecati nemo. Quia aspernatur quaerat minus corporis distinctio. Nam doloribus quidem. Praesentium earum neque. Recusandae expedita repellendus pariatur. Atque quae sapiente cum.,7
575,Arora-Guha,3,IT Intern,IT,Chennai,"Python,SQL,Node.js,C++,Cloud Computing,Java,React",Officia quis temporibus. Odio vero iusto nemo veritatis nesciunt nam. Natus temporibus ipsum.,6
576,Shere-Sidhu,3,Manufacturing Intern,Manufacturing,Chennai,"AutoCAD,MATLAB,Thermodynamics,3D Printing",Sed fugit aliquid modi. Laudantium incidunt esse odio. Est incidunt vitae sapiente. Ab quis mollitia totam.,5
577,D’Alia LLC,3,Marketing Intern,Marketing,Hyderabad,"SEO,Content Creation",Amet accusantium eveniet odio. Exercitationem officia nobis. Nobis perspiciatis placeat vitae. Eum numquam accusamus tempora voluptatum voluptatem. Perferendis fuga velit exercitationem blanditiis.,7
578,Bhandari Group,3,Healthcare Intern,Healthcare,Hyderabad,"Node.js,Java,C++,Cloud Computing",Mollitia ex vero soluta et numquam perspiciatis. Repellat eius molestiae aliquid fugiat iusto dolorem cum. Similique error autem cumque recusandae fugiat.,2
579,Nigam Inc,1,Finance Intern,Finance,Chennai,"Excel,Risk Analysis,Statistics,QuickBooks",Molestiae rerum perspiciatis doloribus iusto. Libero quo autem nulla eius corrupti. Tempora fugiat delectus veniam magni. Officiis iure ab. Blanditiis in optio hic dolorem.,7
580,Dey Ltd,2,IT Intern,IT,Hyderabad,"SQL,Docker,Java,Node.js,Python",Soluta expedita ea deleniti cumque. Cupiditate delectus commodi deleniti natus eveniet enim atque. Neque consequatur dicta cumque. Minima aliquam ut deleniti quis repudiandae numquam. Quia iusto praesentium expedita numquam. Quam laborum asperiores totam nemo earum odit magni.,6
581,Naidu-Yadav,2,Manufacturing Intern,Manufacturing,Chennai,"3D Printing,FEA,MATLAB,AutoCAD,Thermodynamics",Ipsam expedita temporibus doloremque excepturi officia molestiae dolor. Omnis soluta voluptates eius possimus quas minima. Minima ea alias aperiam reprehenderit.,5
582,Acharya LLC,3,Finance Intern,Finance,Mumbai,"Statistics,Tally,Risk Analysis",Enim ipsam est perferendis nam. Repellat similique excepturi perferendis veritatis exercitationem. Rerum minus ab voluptates. Distinctio nesciunt cum nobis in.,1
583,"Balan, Pandya and Oza",1,Healthcare Intern,Healthcare,Chennai,"Node.js,React,Java,SQL,Cloud Computing",Ipsa incidunt quibusdam quisquam cum praesentium. Nesciunt temporibus cumque hic aliquam perferendis dicta. Nam cupiditate iusto sint alias. Odio ab maxime enim ad ratione nihil. Vero eum facere beatae.,5
584,"Sama, Lall and Dhar",2,Finance Intern,Finance,Bangalore,"Excel,QuickBooks,Tally,Statistics",Voluptatibus veritatis explicabo atque repudiandae accusantium illo quas. Hic ut deleniti voluptate placeat aspernatur. Quae eum mollitia esse voluptatibus odio. Ex eveniet ab magnam enim eveniet. Perspiciatis dicta in id adipisci voluptate porro. Blanditiis ut ea incidunt.,2
585,Samra PLC,3,Marketing Intern,Marketing,Bangalore,"Email Marketing,Social Media Marketing,Google Analytics,Content Creation",Illum fuga occaecati earum. Minima perferendis ad numquam hic molestiae quaerat delectus. Optio aut eligendi nostrum accusantium harum. Facilis doloribus et illum. Officiis magni laborum.,6
586,Narasimhan-Bhatia,3,Finance Intern,Finance,Mumbai,"Statistics,Financial Modeling,QuickBooks",Culpa alias ipsam at. Accusamus porro necessitatibus assumenda voluptates sed culpa. Adipisci cupiditate nihil optio ducimus dolores placeat.,3
587,Majumdar-Natt,2,Healthcare Intern,Healthcare,Mumbai,"SQL,C++,Java",Unde nam magni eos atque laboriosam. Voluptatum consequatur occaecati nostrum nam alias commodi recusandae. Fugit vitae dignissimos expedita ratione fugiat illo impedit. Quam sequi fugit explicabo impedit.,1
588,Rege-Sampath,2,Manufacturing Intern,Manufacturing,Chennai,"MATLAB,FEA",Veritatis sit quasi repudiandae accusamus deserunt. Sed accusantium quod beatae voluptatibus reprehenderit. Illum quia deserunt sunt saepe. Perspiciatis rerum tempore nihil est. Harum atque architecto ducimus.,4
589,"Sani, Chand and Rau",1,IT Intern,IT,Hyderabad,"SQL,Python",Cupiditate deserunt cum eos. Cupiditate quam vero exercitationem ab. Hic tempora deserunt maxime asperiores odio voluptas. Magni accusamus quo fugit. Voluptate assumenda ducimus eaque nam non voluptas aliquid.,4
590,"Wali, Babu and Tiwari",3,Marketing Intern,Marketing,Bangalore,"SEO,Email Marketing,Google Analytics,Social Media Marketing,Content Creation",Quis aperiam debitis. Nesciunt quae delectus numquam sapiente perferendis. Adipisci sit non ut aspernatur natus. Sapiente doloribus numquam ipsum atque adipisci. Magnam sapiente molestiae porro eveniet excepturi adipisci. Pariatur corporis incidunt esse cum fugit recusandae voluptatem.,2
591,Sandal PLC,1,Manufacturing Intern,Manufacturing,Pune,"3D Printing,FEA,MATLAB,Thermodynamics",Fugiat necessitatibus quia totam architecto sunt necessitatibus. Maxime illum nihil ullam quidem dolorem numquam. Quia corporis quam reiciendis nisi nam praesentium.,8
592,"Dutta, Koshy and Gill",1,Marketing Intern,Marketing,Delhi,"Email Marketing,Google Analytics",Distinctio cupiditate neque laboriosam ducimus repellendus. Quasi neque eius nemo doloremque illum. Debitis accusantium molestiae quibusdam quasi dolor. Optio officiis facere nemo minus consectetur.,8
593,Kapur-Agate,1,Manufacturing Intern,Manufacturing,Hyderabad,"FEA,Thermodynamics,AutoCAD,3D Printing",Cum quos asperiores minus voluptate aut. Officiis quae sit quidem perspiciatis quaerat. Sapiente architecto maxime ad at natus. Placeat voluptatem nihil dolores minima fugiat. Voluptatibus quibusdam sint quos tempore nemo dolorum quaerat. Quibusdam perferendis quo minus facilis. Ipsa quae sed ipsam molestias.,6
594,Lad Ltd,3,IT Intern,IT,Chennai,"Docker,Node.js,React,Python,Cloud Computing,C++,Java,SQL",Pariatur cumque rem vero est neque. Sed libero id laboriosam expedita. Dolore ex expedita dolorum accusamus asperiores unde. Consequatur minima recusandae modi voluptatum ducimus totam. Recusandae aliquam praesentium dicta.,5
595,"Balay, Arya and Dash",2,Healthcare Intern,Healthcare,Delhi,"Docker,Cloud Computing,SQL,C++",Commodi quidem sapiente similique quod enim. Exercitationem beatae repellat commodi occaecati temporibus quam. Illo repellendus ipsa dolores.,1
596,"Chaudhry, Goyal and Bobal",2,Finance Intern,Finance,Delhi,"Statistics,Financial Modeling,Risk Analysis,Excel",Impedit impedit officia harum explicabo. Tempora laboriosam placeat maxime enim nihil facilis. Rem error rem consequatur veniam. Laboriosam necessitatibus odit delectus.,10
597,"Chawla, Kapur and Bansal",1,Finance Intern,Finance,Pune,"Statistics,Excel,Financial Modeling,QuickBooks",Soluta eveniet maiores molestias ratione possimus officiis. Nesciunt molestiae sequi vel veniam voluptatibus temporibus. Officiis hic quibusdam aut soluta mollitia recusandae.,10
